station_code,station_name,longitude,latitude,zone,state,total_connections,in_degree,out_degree,degree_centrality
SFM,SUNAM,75.808761,30.130335000000002,NR,Punjab,6,2,4,0.0006674824785849371
SBLT,SHRI BHADRIYA LATHI,71.515941,27.030421,NWR,Rajasthan,4,2,2,0.00044498831905662476
SBZ,SISWA BAZAR,83.7563490747,27.1495669522,NER,Uttar Pradesh,7,2,5,0.0007787295583490933
SGL,SAGAULI JN,84.73934,26.758187,ECR,Bihar,9,5,4,0.0010012237178774058
SGW,SINGWAL,74.68275899999999,26.061014999999998,NWR,Rajasthan,5,2,3,0.000556235398820781
SDH,SARADHNA,74.5662047516,26.3404260124,NWR,Rajasthan,4,2,2,0.00044498831905662476
SBH,SULEBHAVI,74.641724,15.912563,SWR,Karnataka,7,4,3,0.0007787295583490933
SDT,SADAT,83.308384,25.673309,NER,Uttar Pradesh,4,2,2,0.00044498831905662476
SHAN,SRINIVASA NAGAR,78.4619205481,17.9099557799,SCR,Andhra Pradesh,4,2,2,0.00044498831905662476
SCP,SIRNAPALLI,78.271132,18.487478,SCR,Andhra Pradesh,4,2,2,0.00044498831905662476
RJI,RAJAWARI,83.130772,25.497689,NER,Uttar Pradesh,4,2,2,0.00044498831905662476
SEU,SENDRA,74.194143,26.077973999999998,NWR,Rajasthan,5,3,2,0.000556235398820781
SKLR,Sakleshpur,75.778745,12.945368,SWR,Karnataka,4,2,2,0.00044498831905662476
SHV,SHIVANI,76.0582362866,13.8111396742,SWR,Karnataka,7,4,3,0.0007787295583490933
RWO,RANAVAV,69.726078,21.698214,WR,Gujarat,4,2,2,0.00044498831905662476
SHMI,SHIROOR,74.59396600000001,13.930712,KR,Karnataka,9,3,6,0.0010012237178774058
S,SHRIRANGAPATNA,76.678033,12.4247,SWR,Karnataka,7,4,3,0.0007787295583490933
RXL,RAXAUL JN,84.84456399999999,26.987018000000003,ECR,Bihar,11,6,5,0.001223717877405718
SDS,Sadulshahr,74.17270445264876,29.902641430417788,NWR,Rajasthan,6,3,3,0.0006674824785849371
SMPR,Shri Madhopur,75.59829400000001,27.457628,NWR,Rajasthan,6,3,3,0.0006674824785849371
SCQ,Sham Chaurasi,75.76642,31.45851,NR,Punjab,4,2,2,0.00044498831905662476
NDRT,Nangal Degrota,76.067464,28.367897,,,0,0,0,0.0
SDBH,Sindri Block Hut,86.447091,23.692944,ECR,Jharkhand,6,3,3,0.0006674824785849371
JWKA,Jandwala Kharta,74.0290537952,30.3576339273,,,0,0,0,0.0
SMLT,SAMLOTI,76.360945,32.098872,NR,Himachal Pradesh,4,2,2,0.00044498831905662476
SKGH,SAKTESGARH,82.821887,24.999741,NCR,Uttar Pradesh,7,3,4,0.0007787295583490933
SNGR,SANGANAPUR,76.7364,19.188596,SCR,Maharashtra,4,2,2,0.00044498831905662476
SPDR,SHEOPRASADNAGER,82.78985700000001,23.303628,SECR,Chhattisgarh,4,2,2,0.00044498831905662476
SRU,SALEMPUR JN,83.923271,26.298048,NER,Uttar Pradesh,6,3,3,0.0006674824785849371
SNAP,SONA ARJUNPUR,77.4525283289,29.7582805083,NR,Uttar Pradesh,4,2,2,0.00044498831905662476
SQD,SATTIRAKKUDI,78.704868,9.400229,SR,Tamil Nadu,5,3,2,0.000556235398820781
SNKG,SANKARAGUMMANUR HALT,77.235523,15.167166,SCR,Andhra Pradesh,6,3,3,0.0006674824785849371
SONI,SONI,78.55522599999999,26.527305000000002,NCR,Madhya Pradesh,4,2,2,0.00044498831905662476
SMAE,SAMUDRAGARH,88.324967,23.335767,ER,West Bengal,6,3,3,0.0006674824785849371
SFX,SAFILGUDA,78.53311000000001,17.461671,SCR,Andhra Pradesh,5,2,3,0.000556235398820781
SLGH,SHELGOAN H,77.5883907849,19.080130931400003,SCR,Maharashtra,4,2,2,0.00044498831905662476
SNH,SAUNSHI,75.295781,15.206786,SWR,Karnataka,5,3,2,0.000556235398820781
SSGJ,SURSARAIGHAT JH,82.124918,24.023428,WCR,Madhya Pradesh,6,3,3,0.0006674824785849371
PAV,Pedana,81.143792,16.252107000000002,SCR,Andhra Pradesh,4,2,2,0.00044498831905662476
SJPM,SUJATA PURAM HALT,76.675521,12.140253000000001,SWR,Karnataka,4,2,2,0.00044498831905662476
STR,SATARA,74.063727,17.688361,CR,Maharashtra,6,4,2,0.0006674824785849371
SRVN,Sravanur,76.355604,12.743443,SWR,Karnataka,4,2,2,0.00044498831905662476
SKU,Sikroda,77.73236299999999,26.336915,NCR,Madhya Pradesh,4,2,2,0.00044498831905662476
SLB,SALBONI,87.321899,22.640971,SER,West Bengal,7,4,3,0.0007787295583490933
SRJM,SIRJAM,86.83509699999999,23.403864,SER,West Bengal,7,3,4,0.0007787295583490933
SSB,SHAKURBASTI,77.1299115857,28.680227328700003,NR,Delhi NCT,4,2,2,0.00044498831905662476
SML,Shimla,77.159932,31.102794,NR,Himachal Pradesh,2,1,1,0.00022249415952831238
KARO,Khario P.H.,86.192092,23.835655,?,,2,1,1,0.00022249415952831238
SN,Sukna,88.363493,26.790887,NFR,West Bengal,2,1,1,0.00022249415952831238
SMKT,Somankatti,75.632594,15.766715999999999,SWR,Karnataka,4,2,2,0.00044498831905662476
SIRA,Sirhi Itara,80.21523499999999,26.367008000000002,NCR,Uttar Pradesh,4,2,2,0.00044498831905662476
SOT,Shohratgarh,82.96929300000001,27.374710999999998,NER,Uttar Pradesh,6,3,3,0.0006674824785849371
SRMP,Sirsi Mukhdumpr,78.635169,28.633209,NR,Uttar Pradesh,4,2,2,0.00044498831905662476
SURP,Suratpura,75.406758,28.661958,NWR,Rajasthan,7,4,3,0.0007787295583490933
PTS,Patansaongi,79.010677,21.344445,SECR,Maharashtra,4,2,2,0.00044498831905662476
SIY,Sirry,81.731233,20.990441,SECR,Chhattisgarh,4,2,2,0.00044498831905662476
KBPR,Kabakaputtur,75.2045015,12.7683965,SWR,Karnataka,4,2,2,0.00044498831905662476
SWO,Sonwara,77.004229,30.894075,NR,Himachal Pradesh,4,2,2,0.00044498831905662476
SRTN,SIBSAGAR TOWN,94.643517,26.989967999999998,NFR,Assam,7,3,4,0.0007787295583490933
JMD,Jamdha,74.98554700000001,20.574085,CR,Maharashtra,4,2,2,0.00044498831905662476
THAN,THAN JN,71.20653300000001,22.578960000000002,WR,Gujarat,7,3,4,0.0007787295583490933
TIP,TATTAPPARAI,78.022486,8.828581,SR,Tamil Nadu,4,2,2,0.00044498831905662476
TJ,THANJAVUR,79.138296,10.778085,SR,Tamil Nadu,8,4,4,0.0008899766381132495
THPR,TIPPAPUR,78.3773798279,18.1941221367,SCR,Andhra Pradesh,4,2,2,0.00044498831905662476
SUNR,SURENDRANAGAR,71.630056,22.7443,WR,Gujarat,6,3,3,0.0006674824785849371
TLMG,TALMADUGU,78.3963542407,19.6417758258,?,Andhra Pradesh,5,2,3,0.000556235398820781
TL,TILONIYA,74.93419399999999,26.652675,NWR,Rajasthan,7,3,4,0.0007787295583490933
SUNM,SUNAMAI HALT,78.22052500000001,28.097372,NR,Uttar Pradesh,6,3,3,0.0006674824785849371
