station_code,station_name,hop_number,cascaded_delay,path,num_trains_affected
ERN,ERNAKULAM TOWN,3,30.7,HWH → DNHL → BMAE → ERN,16
MSAE,MASAGRAM,3,30.7,HWH → DNHL → BMAE → MSAE,16
MANE,MANESWAR,3,30.7,HWH → SLRA → SBPY → MANE,5
CSTM,MUMBAI CST,3,30.7,HWH → BSBP → KIG → CSTM,21
KRPB,KORAPUT B CABIN B.H.,3,30.7,HWH → SLRA → SNRL → KRPB,5
CLVR,CHILUVUR,3,30.7,HWH → KGY → PVD → CLVR,12
KRL,KOTARLIA,3,30.7,HWH → KGY → ROB → KRL,8
PKE,PIMPAR KHED,3,30.7,HWH → KGY → ROB → PKE,15
BEF,BHUPDEOPUR,3,30.7,HWH → KGY → ROB → BEF,6
KHS,KHARSIA,3,30.7,HWH → KGY → ROB → KHS,6
PLO,PULGAON JN,3,30.7,HWH → KGY → KAOT → PLO,9
BSL,BHUSAVAL JN,3,30.7,HWH → KGY → KAOT → BSL,28
GNVR,GONDWANAVISAPUR,3,30.7,HWH → KGY → ANV → GNVR,23
YP,ERRUPALEM,3,30.7,HWH → KGY → ANV → YP,18
DWP,DWARAPUDI,3,30.7,HWH → KGY → ANV → DWP,13
JSRY,JHARSUGUDA R YARD,3,30.7,HWH → SLRA → JSGR → JSRY,20
MNGD,MUNIGUDA,3,30.7,HWH → SLRA → SNRL → MNGD,8
SHM,KOLKATA SHALIMAR,3,30.7,HWH → BSBP → NALR → SHM,6
AMP,AHMADPUR JN,3,30.7,HWH → BSBP → NALR → AMP,7
SLJR,SALGA JHARI,3,30.7,HWH → JPR → ASB → SLJR,10
BIA,BHILAI,3,30.7,HWH → JPR → SAL → BIA,9
DAE,DAHEGAON,3,30.7,HWH → JPR → SAL → DAE,15
DBEC,DEVBALODA CHARODA,3,30.7,HWH → JPR → SAL → DBEC,15
KNHN,KANTHAN JN,3,30.7,HWH → JPR → SAL → KNHN,11
CHCR,CHACHER,3,30.7,HWH → JPR → SAL → CHCR,7
PEL,POLIREDDIPALEM,3,30.7,HWH → JPR → VTM → PEL,17
KRV,KARAVADI,3,30.7,HWH → JPR → VTM → KRV,17
KAQ,KOLANUKONDA,3,30.7,HWH → JPR → VTM → KAQ,14
PBL,PATHSALA,3,30.7,HWH → KGY → VKD → PBL,11
NDO,NIDUBROLU,3,30.7,HWH → BSBP → MDKU → NDO,20
KBH,KHANDBAARA,3,30.7,HWH → BSBP → CEL → KBH,8
IPPM,IPURUPALEM,3,30.7,HWH → BSBP → CEL → IPPM,16
BPY,BADAMPUDI,3,30.7,HWH → BSBP → CEL → BPY,10
HVM,HAMSAVARAM,3,30.7,HWH → BSBP → CEL → HVM,13
TUNI,TUNI,3,30.7,HWH → BSBP → CEL → TUNI,12
NVC,NAGALWANCHA,3,30.7,HWH → JPR → KLX → NVC,10
DIG,DUGGIRALA,3,30.7,HWH → JPR → KLX → DIG,11
PDU,PONDURU,3,30.7,HWH → JPR → DGB → PDU,17
KBM,KOTABOMMALI,3,30.7,HWH → JPR → DGB → KBM,16
NWP,NAUPADA JN,3,30.7,HWH → JPR → DGB → NWP,18
AKT,AKALTARA,3,30.7,HWH → JPR → CHBT → AKT,8
KPLL,KOTTA PANDILA PALLI,3,30.7,HWH → JPR → VTM → KPLL,13
TNGM,TONDALAGOPAVARAM,3,30.7,HWH → BSBP → MDKU → TNGM,15
KVDU,KADAVAKUDURU,3,30.7,HWH → BSBP → MDKU → KVDU,13
CJM,CHINNA GANJAM,3,30.7,HWH → BSBP → MDKU → CJM,15
KZJT,KAZIPET TOWN,3,30.7,HWH → BSBP → MDKU → KZJT,18
INK,INTAKANNE,3,30.7,HWH → BSBP → MDKU → INK,16
VRVL,VIRAVALLI,3,30.7,HWH → BSBP → MDKU → VRVL,19
RVD,RAVIKAMPADU,3,30.7,HWH → KGY → ANV → RVD,10
TMPM,TIMMAPURAM,3,30.7,HWH → KGY → ANV → TMPM,11
CCD,CHICHONDA,3,30.7,HWH → KGY → AJNI → CCD,10
SNI,SINDI,3,30.7,HWH → KGY → AJNI → SNI,31
KRI,KHAPTI,3,30.7,HWH → KGY → AJNI → KRI,13
NGP,NAGPUR,3,30.7,HWH → KGY → AJNI → NGP,16
MBC,MAHANANDA BGE,3,30.7,HWH → BSBP → NALR → MBC,8
KKRM,KAIKORAM,3,30.7,HWH → BSBP → CEL → KKRM,11
VGT,UNGUTURU,3,30.7,HWH → BSBP → CEL → VGT,11
BHNE,BHONE,3,30.7,HWH → GOL → SWR → BHNE,12
LPH,LOTAPAHAR,3,30.7,HWH → GOL → SWR → LPH,12
NGN,NANDGAON,3,30.7,HWH → GOL → DRWN → NGN,14
BRM,BARABAMBO,3,30.7,HWH → GOL → TUX → BRM,10
BUL,BHALULATA,3,30.7,HWH → GOL → MXW → BUL,9
PNPL,PANPALI,3,30.7,HWH → GOL → MXW → PNPL,9
HSL,HISVAHAL,3,30.7,HWH → GOL → MXW → HSL,13
DEL,DENDULURU,3,30.7,HWH → BSBP → BOP → DEL,12
ARGL,ARGUL,3,30.7,HWH → BSBP → BUDR → ARGL,18
KPLD,KAPALI ROAD,3,30.7,HWH → BSBP → BUDR → KPLD,10
GALA,GUNADALA,3,30.7,HWH → BSBP → CEL → GALA,11
DBRG,DIBRUGARH,3,30.7,HWH → CKW → LHL → DBRG,11
CHB,CHABUA,3,30.7,HWH → CKW → LHL → CHB,13
CFG,CHAKITING,3,30.7,HWH → CKW → LHL → CFG,13
KRMD,Kuarmunda,3,30.7,HWH → MURI → ROU → KRMD,4
BZR,BISRA,3,30.7,HWH → MURI → ROU → BZR,11
ACAB,A-CABIN BONDAMUNDA,3,30.7,HWH → MURI → ROU → ACAB,21
ORGA,ORGA,3,30.7,HWH → MURI → ROU → ORGA,10
NXN,NUAGAON,3,30.7,HWH → MURI → ROU → NXN,13
ERSC,ERNAKULAM JN. C,3,30.7,HWH → MURI → ROU → ERSC,18
KRBA,Korba,3,30.7,HWH → JPR → CHBT → KRBA,5
TLO,TALANDU,3,30.7,HWH → ADST → MUG → TLO,5
HYG,HOOGHLY GHAT,3,30.7,HWH → ADST → BDC → HYG,6
ITR,ITWARI,3,30.7,HWH → DNHL → CDAE → ITR,10
CNA,CHANDERIYA,3,30.7,HWH → DNHL → CDAE → CNA,7
TNW,THAPAR NAGAR,3,30.7,HWH → DNHL → CDAE → TNW,5
MMU,MUGMA,3,30.7,HWH → DNHL → KAN → MMU,9
CAR,CHUNAR,3,30.7,HWH → DNHL → KAN → CAR,15
SDLE,SWADINPUR,3,30.7,HWH → DNHL → KAN → SDLE,7
INCI,ISHAN CHANDI HALT,3,30.7,HWH → DNHL → KAN → INCI,12
TRAN,TORANG,3,30.7,HWH → MURI → ILO → TRAN,7
CTQ,CHETAR,3,30.7,HWH → MURI → BLNG → CTQ,5
WDM,WYNDHAMGANJ,3,30.7,HWH → MURI → BLNG → WDM,8
SND,SONDIMRA,3,30.7,HWH → MURI → BLNG → SND,5
JAA,JHALIDA,3,30.7,HWH → MURI → THO → JAA,9
DNT,DANTAN,3,30.7,HWH → DNHL → CDAE → DNT,13
BFQ,BENDI,3,30.7,HWH → MURI → BRKP → BFQ,5
LTMD,LATEMDA,3,30.7,HWH → MURI → BRKP → LTMD,9
MAEL,MAEL,3,30.7,HWH → MURI → BRKP → MAEL,7
BBDA,BARBENDA (RNC DIVISION),3,30.7,HWH → MURI → KSX → BBDA,2
DHN,DHANBAD JN,3,30.7,HWH → MURI → KSX → DHN,11
GUG,GARH JAIPUR,3,30.7,HWH → MURI → KSX → GUG,5
DRGU,DAMRU GHUTU,3,30.7,HWH → MURI → KSX → DRGU,6
GRE,GOLA ROAD,3,30.7,HWH → MURI → ILO → GRE,6
BKDR,BEGUN KUDAR,3,30.7,HWH → MURI → ILO → BKDR,12
BLRI,BELARI HALT,3,30.7,HWH → MGPI → SPRN → BLRI,12
KKPR,KOKPARA,3,30.7,HWH → GTS → DVM → KKPR,9
SPGN,SRIPURIA GAON,3,30.7,HWH → CKW → TSKG → SPGN,11
VKH,VIKHRAN ROAD,3,30.7,HWH → GTS → GUD → VKH,10
LS,LASALGAON,3,30.7,HWH → GTS → GUD → LS,10
HTE,HATIA,3,30.7,HWH → KWKC → BLRG → HTE,21
LOM,LODHMA,3,30.7,HWH → KWKC → BLRG → LOM,6
GAG,GANGAGHAT,3,30.7,HWH → KWKC → JON → GAG,11
KOLE,KOLE,3,30.7,HWH → KWKC → JON → KOLE,6
KITA,KITA,3,30.7,HWH → MURI → SLF → KITA,12
BDXX,Bade Arapur,3,30.7,HWH → JDB → TPQ → BDXX,2
AGZ,AMAGURA,3,30.7,HWH → JDB → NKX → AGZ,4
PNT,PANITOLA,3,30.7,HWH → CKW → DKM → PNT,13
RNY,RANGIYA JN,3,30.7,HWH → CKW → DKM → RNY,13
MUGN,MAHUTGAON,3,30.7,HWH → CKW → DKM → MUGN,12
CHLK,CHAVALKHEDE,3,30.7,HWH → GTS → GUD → CHLK,8
JTL,JHAPATER DHAL,3,30.7,HWH → DNHL → KAN → JTL,7
PWS,PHULWARI SHARIF,3,30.7,HWH → DNHL → KAN → PWS,9
KVD,KHURMABAD ROAD,3,30.7,HWH → DNHL → KAN → KVD,6
KANL,KANL,3,30.7,HWH → DNHL → KAN → KANL,9
TIT,TALIT,3,30.7,HWH → DNHL → KAN → TIT,8
GLI,GALSI,3,30.7,HWH → DNHL → KAN → GLI,11
MQJ,MARADAM HALT,3,30.7,HWH → SLRA → SNRL → MQJ,6
JUJA,JUJUMURA,3,30.7,HWH → SLRA → SBPD → JUJA,6
RVH,RAIPUR R-V BLOCK,3,30.7,HWH → SLRA → SBPD → RVH,6
RAIR,RAIRAKHOL,3,30.7,HWH → SLRA → SBPD → RAIR,7
RGL,RENGALI,3,30.7,HWH → SLRA → SBPD → RGL,8
RNC,RANCHI,3,30.7,HWH → MURI → SLF → RNC,10
ANGL,ANGUL,3,30.7,HWH → SLRA → SBPD → ANGL,9
JSG,JHARSUGUDA JN,3,30.7,HWH → SLRA → JSGR → JSG,17
LATI,LATIA CABIN,3,30.7,HWH → SLRA → JSGR → LATI,13
BXQ,BRUNDAMAL,3,30.7,HWH → SLRA → JSGR → BXQ,8
KTCH,KAITHALKUCHI,3,30.7,HWH → DNHL → NLV → KTCH,14
DLDE,DALDALI,3,30.7,HWH → DNHL → AGT → DLDE,15
AHL,AJHARAIL,3,30.7,HWH → DNHL → AGT → AHL,18
CGS,CHANGSARI,3,30.7,HWH → DNHL → AGT → CGS,12
HWR,HATWAR,3,30.7,HWH → DNHL → CHC → HWR,11
KQU,KAMARKUNDU,3,30.7,HWH → DNHL → CHC → KQU,18
CVV,CHERUVU MADHAVARAM,3,30.7,HWH → KGY → BMD → CVV,15
STPT,SITAMPET,3,30.7,HWH → KGY → BMD → STPT,9
SBP,SAMBALPUR,3,30.7,HWH → SLRA → SBPD → SBP,21
GMZ,GUMANI HAT,3,30.7,HWH → DNHL → BNGN → GMZ,9
